,X,Y,time
3320,14.903683,-4.382648,56271184.0
3321,14.904638,-4.3848023,56288136.0
3322,14.904638,-4.3848023,56305084.0
3323,14.904638,-4.3848023,56322030.0
3324,14.904638,-4.3848023,56338984.0
3325,14.903683,-4.382648,56355932.0
3326,14.845085,-4.2925453,56372880.0
3327,14.845085,-4.2925453,56389830.0
3328,14.845085,-4.2925453,56406780.0
3329,14.904638,-4.3848023,56423730.0
3330,14.904638,-4.3848023,56440676.0
3331,14.899261,-4.367388,56457628.0
3332,14.899261,-4.367388,56474576.0
3333,14.899261,-4.367388,56491524.0
3334,14.899261,-4.367388,56508470.0
3335,inf,-inf,56525424.0
3336,inf,-inf,56542372.0
3337,inf,-inf,56559320.0
3338,inf,-inf,56576270.0
3339,inf,-inf,56593220.0
3340,inf,-inf,56610170.0
3341,inf,-inf,56627120.0
3342,inf,-inf,56644068.0
3343,inf,-inf,56661016.0
3344,inf,-inf,56677970.0
3345,14.70484,-4.3939743,56694916.0
3346,14.737238,-4.4158573,56711864.0
3347,14.730854,-4.5243826,56728812.0
3348,14.731071,-4.528287,56745760.0
3349,inf,-inf,56762710.0
3350,inf,-inf,56779660.0
3351,inf,-inf,56796610.0
3352,inf,-inf,56813560.0
3353,14.835718,-4.6085725,56830508.0
3354,14.772249,-4.6308913,56847456.0
3355,14.779939,-4.6568933,56864410.0
3356,14.788782,-4.6586657,56881356.0
3357,14.879486,-4.570135,56898304.0
3358,14.85761,-4.606964,56915256.0
3359,14.868286,-4.4536767,56932204.0
3360,14.883701,-4.5448046,56949150.0
3361,14.883701,-4.5448046,56966100.0
3362,14.874569,-4.4061313,56983050.0
3363,14.868991,-4.438223,57000000.0
3364,14.87929,-4.388076,57016948.0
3365,14.877056,-4.370098,57033896.0
3366,inf,-inf,57050850.0
3367,inf,-inf,57067796.0
3368,inf,-inf,57084744.0
3369,inf,-inf,57101696.0
3370,14.968521,-4.3212023,57118644.0
3371,14.972034,-4.3164835,57135590.0
3372,14.972034,-4.3164835,57152544.0
3373,14.991959,-4.3212023,57169492.0
