,time,X,Y
0,0.0,23.53665,-1.7928032
1,0.016949,23.51775,-1.7928407
2,0.033898,23.51775,-1.7928407
3,0.050847,23.51775,-1.7928407
4,0.067796,23.51775,-1.7928407
5,0.084745,23.529652,-1.7928067
6,0.101694,23.525852,-1.7928286
7,0.118644,23.525852,-1.7928286
8,0.135593,23.525852,-1.7928286
9,0.152542,23.529652,-1.7928067
10,0.169491,23.525852,-1.7928286
11,0.18644,23.529652,-1.7928067
12,0.203389,23.529652,-1.7928067
13,0.220338,23.529652,-1.7928067
14,0.237288,23.529652,-1.7928067
15,0.254237,23.563871,-1.7926953
16,0.271186,23.529652,-1.7928067
17,0.288135,23.548649,-1.7927575
18,0.305084,23.529652,-1.7928067
19,0.322033,23.529652,-1.7928067
20,0.338983,23.548649,-1.7927575
21,0.355932,23.525852,-1.7928286
22,0.372881,23.529652,-1.7928067
23,0.38983,23.53665,-1.7928032
24,0.406779,23.540424,-1.7927847
25,0.423728,23.540424,-1.7927847
26,0.440677,23.563871,-1.7926953
27,0.457627,23.563871,-1.7926953
28,0.474576,inf,-inf
29,0.491525,23.563871,-1.7926953
30,0.508474,23.339874,-1.7925693
31,0.525423,inf,-inf
32,0.542372,inf,-inf
33,0.559322,inf,-inf
34,0.576271,23.321165,-1.792486
35,0.59322,inf,-inf
36,0.610169,inf,-inf
37,0.627118,inf,-inf
38,0.644067,inf,-inf
39,0.661016,inf,-inf
40,0.677966,inf,-inf
41,0.694915,inf,-inf
42,0.711864,inf,-inf
43,0.728813,inf,-inf
44,0.745762,inf,-inf
45,0.762711,inf,-inf
46,0.779661,inf,-inf
47,0.79661,inf,-inf
48,0.813559,inf,-inf
49,0.830508,inf,-inf
50,0.847457,inf,-inf
51,0.864406,inf,-inf
52,0.881355,inf,-inf
53,0.898305,inf,-inf
54,0.915254,inf,-inf
55,0.932203,inf,-inf
56,0.949152,inf,-inf
57,0.966101,inf,-inf
58,0.98305,inf,-inf
59,1.0,inf,-inf
60,1.016949,inf,-inf
61,1.033898,inf,-inf
62,1.050847,inf,-inf
63,1.067796,inf,-inf
64,1.084745,16.19429,-3.940467
65,1.101694,16.201286,-3.9385843
66,1.118644,16.198376,-3.9396234
67,1.135593,16.196161,-3.9320602
68,1.152542,16.197527,-3.9385028
69,1.169491,16.20451,-3.938804
70,1.18644,16.204628,-3.9389434
71,1.203389,16.20493,-3.9390101
72,1.220338,16.19288,-3.939178
73,1.237288,16.20451,-3.938804
74,1.254237,16.362988,-3.8658636
75,1.271186,16.360666,-3.8664951
76,1.288135,16.19741,-3.937776
77,1.305084,16.19741,-3.937776
78,1.322033,16.350746,-3.865282
79,1.338983,16.198376,-3.9396234
80,1.355932,16.46398,-4.08916
81,1.372881,16.467588,-4.0889378
82,1.38983,16.46398,-4.08916
83,1.406779,16.467588,-4.0889378
84,1.423728,16.46398,-4.08916
85,1.440677,16.467588,-4.0889378
86,1.457627,16.467588,-4.0889378
87,1.474576,16.19807,-3.939149
88,1.491525,17.326513,-4.002051
89,1.508474,16.205078,-3.9372132
90,1.525423,16.205112,-3.9374933
91,1.542372,16.20546,-3.9368715
92,1.559322,16.204962,-3.9367883
93,1.576271,16.362871,-3.8658648
94,1.59322,16.368881,-3.8655024
95,1.610169,16.36282,-3.8660054
96,1.627118,16.36282,-3.8660054
97,1.644067,17.3686,-4.0109844
98,1.661016,16.36231,-3.866259
99,1.677966,16.362724,-3.8660493
100,1.694915,16.347445,-3.8666897
101,1.711864,16.347445,-3.8666897
102,1.728813,16.356075,-3.865091
103,1.745762,16.347864,-3.8666062
104,1.762711,16.191097,-3.9376316
105,1.779661,16.188414,-3.9370415
106,1.79661,16.189537,-3.9357157
107,1.813559,16.199823,-3.9390485
108,1.830508,16.202312,-3.939502
109,1.847457,17.322466,-4.002363
110,1.864406,16.202007,-3.9400482
111,1.881355,16.202118,-3.9402046
112,1.898305,16.202007,-3.9400482
113,1.915254,16.202118,-3.9402046
114,1.932203,16.189507,-3.941605
115,1.949152,16.202076,-3.9394917
116,1.966101,16.197298,-3.9389584
117,1.98305,16.191727,-3.938997
118,2.0,16.185843,-3.941499
119,2.016949,16.191317,-3.938995
120,2.033898,16.211393,-3.930459
121,2.050847,16.2142,-3.9329433
122,2.067796,16.211393,-3.930459
123,2.084745,16.199114,-3.9402688
124,2.101694,16.205849,-3.935719
125,2.118644,16.19907,-3.9400015
126,2.135593,16.19907,-3.9400015
127,2.152542,16.193766,-3.9396665
128,2.169491,16.194466,-3.9374392
129,2.18644,16.185686,-3.9384627
130,2.203389,17.326214,-4.002786
131,2.220338,16.1786,-3.939625
132,2.237288,16.183212,-3.9421558
133,2.254237,16.183212,-3.9421558
134,2.271186,16.193148,-3.939228
135,2.288135,16.193148,-3.939228
136,2.305084,16.193127,-3.9392762
137,2.322033,16.18824,-3.9401746
138,2.338983,16.193148,-3.939228
139,2.355932,16.188139,-3.9402962
140,2.372881,16.187515,-3.9392695
141,2.38983,16.18824,-3.9401746
142,2.406779,17.325779,-4.0018525
143,2.423728,16.18826,-3.9397473
144,2.440677,16.188536,-3.93988
145,2.457627,16.188313,-3.9398842
146,2.474576,16.378443,-3.8658705
147,2.491525,16.363228,-3.8658562
148,2.508474,17.369408,-4.0113163
149,2.525423,16.196365,-3.9380174
150,2.542372,16.195677,-3.9372358
151,2.559322,16.196545,-3.937611
152,2.576271,16.205364,-3.9385104
153,2.59322,16.186949,-3.93615
154,2.610169,16.194782,-3.9380388
155,2.627118,16.186949,-3.93615
156,2.644067,16.186949,-3.93615
157,2.661016,16.186949,-3.93615
158,2.677966,16.204966,-3.9348178
159,2.694915,16.206192,-3.9330206
160,2.711864,16.197653,-3.937478
161,2.728813,16.198418,-3.9402
162,2.745762,16.198204,-3.94019
163,2.762711,16.198418,-3.9402
164,2.779661,16.200144,-3.9391236
165,2.79661,16.187626,-3.937377
166,2.813559,16.187037,-3.9341047
167,2.830508,16.187035,-3.936867
168,2.847457,16.199524,-3.9369814
169,2.864406,16.187502,-3.937116
170,2.881355,16.188808,-3.9389806
171,2.898305,16.197395,-3.940705
172,2.915254,16.196863,-3.9400172
173,2.932203,16.196373,-3.9392862
174,2.949152,16.196373,-3.9392862
175,2.966101,16.18824,-3.9403415
176,2.98305,16.196184,-3.9390686
177,3.0,16.217611,-3.9329286
178,3.016949,16.196184,-3.9390686
179,3.033898,16.204418,-3.9374995
180,3.050847,16.204962,-3.9367883
181,3.067796,16.188454,-3.9421983
182,3.084745,16.188454,-3.9421983
183,3.101694,16.203321,-3.9332304
184,3.118644,16.19083,-3.9404047
185,3.135593,16.198048,-3.9393177
186,3.152542,16.19083,-3.9404047
187,3.169491,16.198048,-3.9393177
188,3.18644,16.179157,-3.9448557
189,3.203389,16.188385,-3.9408982
190,3.220338,16.179201,-3.9452567
191,3.237288,16.205166,-3.9352078
192,3.254237,16.211102,-3.9308934
193,3.271186,17.326683,-4.001746
194,3.288135,16.223806,-3.9332585
195,3.305084,16.19765,-3.938541
196,3.322033,16.202076,-3.9394917
197,3.338983,16.211218,-3.9307902
198,3.355932,16.193504,-3.939944
199,3.372881,16.193645,-3.9370904
200,3.38983,16.211218,-3.9307902
201,3.406779,16.20521,-3.935521
202,3.423728,16.20521,-3.935521
203,3.440677,16.186459,-3.9421673
204,3.457627,16.204956,-3.9385262
205,3.474576,16.205206,-3.9349513
206,3.491525,16.210962,-3.9317193
207,3.508474,16.210962,-3.9317193
208,3.525423,16.186274,-3.9435382
209,3.542372,16.195183,-3.938949
210,3.559322,16.192722,-3.9402301
211,3.576271,16.197678,-3.9397273
212,3.59322,16.196545,-3.937611
213,3.610169,16.18928,-3.9413245
214,3.627118,16.197712,-3.940434
215,3.644067,16.18837,-3.939788
216,3.661016,16.18837,-3.939788
217,3.677966,16.18837,-3.939788
218,3.694915,16.188374,-3.9418223
219,3.711864,17.313828,-3.9953275
220,3.728813,16.196184,-3.9390686
221,3.745762,17.268925,-3.9822745
222,3.762711,17.268925,-3.9822745
223,3.779661,16.171568,-3.944384
224,3.79661,16.1787,-3.9458084
225,3.813559,16.185211,-3.9407668
226,3.830508,16.178562,-3.9457278
227,3.847457,16.178757,-3.9454412
228,3.864406,16.179205,-3.9452827
229,3.881355,16.178738,-3.9458275
230,3.898305,16.172771,-3.9431686
231,3.915254,16.179008,-3.9454594
232,3.932203,16.18836,-3.9416666
233,3.949152,16.188164,-3.9418344
234,3.966101,16.18849,-3.9422965
235,3.98305,16.197678,-3.9397273
236,4.0,16.197712,-3.940434
237,4.016949,16.197748,-3.9397535
238,4.033898,16.197912,-3.9398227
239,4.050847,16.188543,-3.940936
240,4.067796,17.326447,-4.002756
241,4.084745,17.326374,-4.002529
242,4.101694,16.21635,-3.929563
243,4.118644,16.193136,-3.943124
244,4.135593,16.200706,-3.9351232
245,4.152542,16.193178,-3.942904
246,4.169491,16.190113,-3.938013
247,4.18644,16.195957,-3.931836
248,4.203389,16.204962,-3.9367883
249,4.220338,16.196318,-3.9367409
250,4.237288,16.196318,-3.9367409
251,4.254237,16.19822,-3.9387784
252,4.271186,16.19726,-3.9383245
253,4.288135,16.196966,-3.938561
254,4.305084,16.188318,-3.9395547
255,4.322033,16.19639,-3.9378257
256,4.338983,16.190302,-3.942586
257,4.355932,16.200634,-3.9330177
258,4.372881,16.192537,-3.9376867
259,4.38983,16.19102,-3.9380689
260,4.406779,16.197912,-3.9398227
261,4.423728,16.204544,-3.9375863
262,4.440677,16.19807,-3.939149
263,4.457627,16.197315,-3.9381852
264,4.474576,16.19833,-3.938799
265,4.491525,16.196857,-3.9369845
266,4.508474,16.198126,-3.9402122
267,4.525423,16.2055,-3.9370298
268,4.542372,16.198126,-3.9402122
269,4.559322,16.198126,-3.9402122
270,4.576271,16.198843,-3.9406037
271,4.59322,16.190594,-3.9390798
272,4.610169,16.198843,-3.9406037
273,4.627118,16.198643,-3.9398565
274,4.644067,16.199617,-3.9410756
275,4.661016,16.197964,-3.9382174
276,4.677966,16.18837,-3.939788
277,4.694915,16.198204,-3.9382474
278,4.711864,16.18773,-3.9395192
279,4.728813,16.1963,-3.9391584
280,4.745762,16.188139,-3.9402962
281,4.762711,16.184551,-3.9411714
282,4.779661,16.18824,-3.9401746
283,4.79661,16.19354,-3.9400127
284,4.813559,16.197746,-3.9385335
285,4.830508,16.197746,-3.9385335
286,4.847457,16.197746,-3.9385335
287,4.864406,16.19765,-3.938541
288,4.881355,16.198185,-3.9387035
289,4.898305,16.197527,-3.9385028
290,4.915254,16.198185,-3.9387035
291,4.932203,16.198185,-3.9387035
292,4.949152,16.198185,-3.9387035
293,4.966101,16.198185,-3.9387035
294,4.98305,16.198185,-3.9387035
295,5.0,16.198126,-3.9402122
296,5.016949,16.1977,-3.939736
297,5.033898,16.197748,-3.939443
298,5.050847,16.188856,-3.9332218
299,5.067796,16.197254,-3.9395614
300,5.084745,16.197868,-3.9385734
301,5.101694,16.205069,-3.9354668
302,5.118644,16.197868,-3.9385734
303,5.135593,16.193485,-3.9399219
304,5.152542,16.202078,-3.9394088
305,5.169491,16.196852,-3.9397967
306,5.18644,16.197823,-3.9397922
307,5.203389,16.197823,-3.9397922
308,5.220338,16.197628,-3.940404
309,5.237288,17.368696,-4.01051
310,5.254237,16.197823,-3.9397922
311,5.271186,16.369705,-3.8651223
312,5.288135,16.370304,-3.8651626
313,5.305084,16.19622,-3.9366832
314,5.322033,16.198072,-3.9403052
315,5.338983,16.19807,-3.939149
316,5.355932,16.198072,-3.9403052
317,5.372881,16.20521,-3.935521
318,5.38983,16.19765,-3.938541
319,5.406779,16.368195,-3.8650427
320,5.423728,16.365685,-3.8657277
321,5.440677,16.360975,-3.8643544
322,5.457627,16.368195,-3.8650427
323,5.474576,16.363083,-3.865684
324,5.491525,16.370104,-3.8649187
325,5.508474,16.363083,-3.865684
326,5.525423,17.369461,-4.0113983
327,5.542372,16.189686,-3.9423413
328,5.559322,16.363142,-3.8659186
329,5.576271,16.194784,-3.9382532
330,5.59322,16.46398,-4.08916
331,5.610169,15.976082,-4.031259
332,5.627118,15.976082,-4.031259
333,5.644067,15.976082,-4.031259
334,5.661016,15.976082,-4.031259
335,5.677966,15.976082,-4.031259
336,5.694915,15.976082,-4.031259
337,5.711864,15.976082,-4.031259
338,5.728813,15.976082,-4.031259
339,5.745762,15.976082,-4.031259
340,5.762711,16.280807,-3.8292642
341,5.779661,16.280807,-3.8292642
342,5.79661,16.46398,-4.08916
343,5.813559,16.46398,-4.08916
344,5.830508,16.467588,-4.0889378
345,5.847457,16.467588,-4.0889378
346,5.864406,16.19523,-3.9380243
347,5.881355,16.191116,-3.9387465
348,5.898305,16.191036,-3.9389338
349,5.915254,16.196857,-3.9369845
350,5.932203,16.191317,-3.9381776
351,5.949152,16.191946,-3.9388583
352,5.966101,16.198425,-3.9388142
353,5.98305,16.19785,-3.9379957
354,6.0,16.197958,-3.938127
355,6.016949,16.19785,-3.9379957
356,6.033898,16.19677,-3.9371724
357,6.050847,16.196812,-3.9360776
358,6.067796,16.19916,-3.9408045
359,6.084745,16.363182,-3.8657627
360,6.101694,16.19807,-3.939149
361,6.118644,16.376179,-3.860582
362,6.135593,16.374496,-3.8600836
363,6.152542,16.374004,-3.859678
364,6.169491,16.198318,-3.9390721
365,6.18644,16.197813,-3.9386194
366,6.203389,16.198227,-3.9392216
367,6.220338,17.326746,-4.0015917
368,6.237288,16.197868,-3.9404998
369,6.254237,16.205122,-3.9368687
370,6.271186,16.196318,-3.9367409
371,6.288135,16.46398,-4.08916
372,6.305084,16.18354,-3.9185982
373,6.322033,16.18354,-3.9185982
374,6.338983,15.976082,-4.031259
375,6.355932,16.313475,-3.8340175
376,6.372881,inf,-inf
377,6.38983,inf,-inf
378,6.406779,15.341128,-3.8760643
379,6.423728,15.496531,-3.8655424
380,6.440677,15.091053,-3.9281137
