,X,Y,time
3320,14.283989,-1.0425694,57152544.0
3321,14.274572,-1.0589586,57169492.0
3322,14.295736,-1.0064931,57186440.0
3323,14.260593,-1.1122458,57203388.0
3324,14.264406,-1.1374803,57220336.0
3325,14.268963,-1.1607527,57237290.0
3326,14.265919,-1.1549273,57254236.0
3327,14.268698,-1.155357,57271184.0
3328,14.288717,-1.1822338,57288136.0
3329,14.306817,-1.2078738,57305084.0
3330,14.334761,-1.2256955,57322030.0
3331,14.3131695,-1.2278798,57338984.0
3332,inf,-inf,57355932.0
3333,inf,-inf,57372880.0
3334,14.335094,-1.2510704,57389830.0
3335,14.341659,-1.2505872,57406780.0
3336,inf,-inf,57423730.0
3337,inf,-inf,57440676.0
3338,inf,-inf,57457628.0
3339,inf,-inf,57474576.0
3340,inf,-inf,57491524.0
3341,14.38903,-1.2929424,57508470.0
3342,inf,-inf,57525424.0
3343,inf,-inf,57542372.0
3344,inf,-inf,57559320.0
3345,inf,-inf,57576270.0
3346,14.442728,-1.3007299,57593220.0
3347,14.453814,-1.3169283,57610170.0
3348,inf,-inf,57627120.0
3349,inf,-inf,57644068.0
3350,14.456173,-1.3233603,57661016.0
3351,inf,-inf,57677970.0
3352,14.509881,-1.3238168,57694916.0
3353,inf,-inf,57711864.0
3354,inf,-inf,57728812.0
3355,14.514384,-1.3310857,57745760.0
3356,inf,-inf,57762710.0
3357,inf,-inf,57779660.0
3358,inf,-inf,57796610.0
3359,inf,-inf,57813560.0
3360,inf,-inf,57830508.0
3361,inf,-inf,57847456.0
3362,inf,-inf,57864410.0
3363,14.602555,-1.2924733,57881356.0
3364,inf,-inf,57898304.0
3365,inf,-inf,57915256.0
3366,inf,-inf,57932204.0
3367,inf,-inf,57949150.0
3368,inf,-inf,57966100.0
3369,inf,-inf,57983050.0
3370,inf,-inf,58000000.0
3371,14.6739435,-1.2535043,58016948.0
3372,inf,-inf,58033896.0
3373,14.677103,-1.2538549,58050850.0
3374,inf,-inf,58067796.0
3375,14.697381,-1.2535043,58084744.0
3376,14.748404,-1.2420877,58101696.0
3377,14.746917,-1.2549704,58118644.0
3378,14.749612,-1.2401682,58135590.0
3379,14.750866,-1.2395889,58152544.0
3380,14.746917,-1.2549704,58169492.0
3381,14.75839,-1.228753,58186440.0
3382,14.798332,-1.1986475,58203388.0
3383,14.756941,-1.2261517,58220336.0
3384,14.834223,-1.170053,58237290.0
3385,14.799171,-1.2237995,58254236.0
3386,14.773298,-1.2273872,58271184.0
3387,14.799171,-1.2237995,58288136.0
3388,14.796736,-1.2039497,58305084.0
3389,14.818934,-1.1802481,58322030.0
3390,14.92333,-1.0933509,58338984.0
3391,inf,-inf,58355932.0
3392,14.9402485,-1.0758216,58372880.0
3393,inf,-inf,58389830.0
3394,inf,-inf,58406780.0
3395,14.96912,-1.060498,58423730.0
3396,14.950584,-1.0586034,58440676.0
3397,inf,-inf,58457628.0
3398,inf,-inf,58474576.0
3399,inf,-inf,58491524.0
3400,inf,-inf,58508470.0
3401,15.003367,-1.0199695,58525424.0
3402,15.094914,-0.9841497,58542372.0
3403,15.120657,-0.95784926,58559320.0
3404,inf,-inf,58576270.0
3405,inf,-inf,58593220.0
3406,inf,-inf,58610170.0
3407,15.090749,-0.98749405,58627120.0
3408,inf,-inf,58644068.0
3409,15.194256,-0.915007,58661016.0
3410,inf,-inf,58677970.0
3411,inf,-inf,58694916.0
3412,inf,-inf,58711864.0
3413,inf,-inf,58728812.0
3414,inf,-inf,58745760.0
3415,15.311259,-0.86233574,58762710.0
3416,15.344109,-0.8376124,58779660.0
3417,15.304988,-0.8788345,58796610.0
3418,15.304988,-0.8788345,58813560.0
3419,15.304988,-0.8788345,58830508.0
3420,15.352727,-0.8435247,58847456.0
3421,15.399602,-0.8200872,58864410.0
3422,15.435524,-0.8064072,58881356.0
3423,15.442511,-0.800972,58898304.0
3424,15.466023,-0.8019854,58915256.0
3425,15.473438,-0.7948444,58932204.0
3426,15.473438,-0.7948444,58949150.0
3427,15.473438,-0.7948444,58966100.0
3428,15.404148,-0.81078905,58983050.0
3429,15.485064,-0.80130327,59000000.0
3430,15.485064,-0.80130327,59016948.0
3431,15.485064,-0.80130327,59033896.0
3432,15.487101,-0.80145884,59050850.0
3433,15.487101,-0.80145884,59067796.0
3434,15.487423,-0.8077353,59084744.0
3435,15.487423,-0.8077353,59101696.0
3436,15.487423,-0.8077353,59118644.0
3437,15.490887,-0.80796885,59135590.0
3438,15.490887,-0.80796885,59152544.0
3439,15.514324,-0.80796885,59169492.0
3440,inf,-inf,59186440.0
3441,15.5645685,-0.8081918,59203388.0
3442,15.567728,-0.8085424,59220336.0
